School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
ARIZONA MIDDLE,California,60243000129,CA ,Riverside County,2-No,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,1010,691,–,147,838,528,482,2,35,819,37,100,10,7,1010,39.67,25.46
ARIZONA PREPARATORY ACADEMY,Arizona,40030302181,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,348,–,–,–,–,159,189,18,3,207,38,76,1,5,348,–,†
ARIZONA SCHOOL FOR THE ARTS,Arizona,40005600781,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,840,–,–,–,–,232,608,14,36,198,33,510,0,49,840,–,†
ARIZONA VIRTUAL ACADEMY,Arizona,40043202200,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,3632,–,–,–,–,1760,1872,88,59,900,247,2077,12,249,3632,–,†
ARIZONA WORLD SCHOOL,Arizona,40753003203,AZ ,Pinal County,2-No,†,†,31-Town: Fringe,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
ARK CONSOLIDATED HIGH SCHOOL,Arkansas,50039001561,AR ,Pulaski County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,No,96,36,13,–,36,82,14,1,–,3,51,41,–,–,96,12.99,7.39
ARK INDEPENDENT STUDIES,California,63560007869,CA ,Santa Cruz County,2-No,2-No,–,13-City: Small,†,2-No,6-Not a Title I school,No,61,23,–,1,24,31,30,0,1,26,0,30,0,4,61,2.75,22.18
ARK. SCHOOL FOR THE BLIND ELEM,Arkansas,50003501419,AR ,Pulaski County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),46,33,13,–,33,28,18,–,3,3,16,21,–,3,46,12.2,3.77
ARK. SCHOOL FOR THE BLIND H.S.,Arkansas,50003501420,AR ,Pulaski County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,48,8,12,4,12,34,14,–,1,5,13,29,–,–,48,18.75,2.56
ARK. SCHOOL FOR THE DEAF ELEM.,Arkansas,50003601421,AR ,Pulaski County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,78,11,26,3,14,41,37,1,3,10,26,36,1,1,78,19.69,3.96
ARK. SCHOOL FOR THE DEAF H.S.,Arkansas,50003601422,AR ,Pulaski County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,54,10,9,7,17,31,23,–,4,7,11,30,–,2,54,13.38,4.04
ARKADELPHIA HIGH SCHOOL,Arkansas,50243000018,AR ,Clark County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,512,75,109,36,111,270,242,2,10,43,188,257,1,11,512,47.41,10.8
ARKANSAS ARTS ACADEMY ELEMENTARY/MIDDLE SCHOOL,Arkansas,50005500513,AR ,Benton County,1-Yes,2-No,2-No,13-City: Small,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,562,61,43,44,105,257,305,4,11,78,9,423,2,35,562,41.69,13.48
ARKANSAS ARTS ACADEMY HIGH SCHOOL,Arkansas,50005501508,AR ,Benton County,1-Yes,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,230,21,16,10,31,90,140,3,4,27,–,174,–,22,230,23.42,9.82
ARKANSAS CITY HIGH,Kansas,2.00E+11,KS ,Cowley County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,767,374,–,96,470,398,369,32,5,183,34,461,5,47,767,55,13.95
ARKANSAS CITY MIDDLE SCH,Kansas,2.00E+11,KS ,Cowley County,2-No,2-No,–,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,655,387,–,71,458,340,315,16,2,182,19,379,9,48,655,42.2,15.52
ARKANSAS CONNECTIONS ACADEMY HIGH,ARKANSAS,50041701632,AR ,Benton County,1-Yes,2-No,2-No,13-City: Small,1-Yes,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,No,761,148,236,88,236,354,407,4,5,67,85,564,1,35,761,29.64,25.67
ARKANSAS ELEMENTARY SCHOOL,Colorado,80234001296,CO ,Arapahoe County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,434,276,219,33,309,225,209,3,17,151,132,96,4,31,434,21.42,20.26
ARKANSAS HIGH SCHOOL,Arkansas,51311001068,AR ,Miller County,2-No,2-No,2-No,23-Suburb: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,1009,262,278,90,352,512,497,1,5,45,523,401,1,33,1009,81.9,12.32
ARKANSAS NORTHEASTERN COLLEGE,Arkansas,50008001098,AR ,Mississippi County,2-No,2-No,2-No,42-Rural: Distant,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
ARKANSAS VIRTUAL ACADEMY,Arkansas,50039401461,AR ,Pulaski County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,No,715,104,236,88,192,380,335,8,9,57,88,529,2,22,715,17.5,40.86
ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,ARKANSAS,50039401604,AR ,Pulaski County,1-Yes,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,No,737,137,169,72,209,329,408,3,10,54,81,576,–,13,737,37.64,19.58
ARKANSAS VIRTUAL ACADEMY JR,Arkansas,50039401447,AR ,Pulaski County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,No,603,93,161,76,169,288,315,4,3,41,54,488,–,13,603,16.66,36.19
ARKOMA HS,Oklahoma,4.00E+11,OK ,Le Flore County,2-No,†,2-No,22-Suburb: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,115,49,49,13,62,58,57,4,1,4,1,83,–,22,115,10.3,11.17
ARKOMA JHS,OKLAHOMA,4.00E+11,OK ,Le Flore County,2-No,†,2-No,22-Suburb: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,48,26,24,4,30,22,26,1,–,2,–,30,–,15,48,3.04,15.79
ARKPORT CENTRAL SCHOOL,New York,3.60E+11,NY ,Steuben County,2-No,2-No,2-No,33-Town: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,445,133,–,26,159,225,220,2,3,17,0,419,0,4,445,39.2,11.35
ARLAND D WILLIAMS JR ELEM SCH,Illinois,1.73E+11,IL ,Coles County,2-No,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,734,426,–,47,473,382,352,1,8,25,48,601,–,51,734,42.25,17.37
ARLANZA ELEMENTARY,California,60243000130,CA ,Riverside County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,521,452,–,43,495,268,253,2,1,498,6,12,1,1,521,23,22.65
ARLEE 7-8,Montana,3.00E+11,MT ,Lake County,†,†,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),63,63,–,–,63,24,39,35,1,3,0,15,0,9,63,7.1,8.87
ARLEE ELEMENTARY,Montana,3.00E+11,MT ,Lake County,†,†,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),260,260,–,–,260,139,121,148,0,25,0,51,0,36,260,22.75,11.43
ARLEE HIGH SCHOOL,Montana,3.00E+11,MT ,Lake County,†,†,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),122,122,–,–,122,67,55,57,0,12,0,29,0,24,122,14.18,8.6
ARLENE HEIN ELEMENTARY,California,61233011060,CA ,Sacramento County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,899,272,–,73,345,498,401,4,377,151,86,173,9,99,899,34.31,26.2
ARLENE MERAUX ELEMENTARY SCHOOL,LOUISIANA,2.20E+11,LA ,St. Bernard Parish,2-No,2-No,–,21-Suburb: Large,–,–,–,Yes participating without using any Provision or the CEO,530,344,–,21,365,268,262,2,12,102,175,221,–,18,530,32,16.56
ARLENE WELCH ELEMENTARY SCHOOL,Illinois,1.74E+11,IL ,Will County,2-No,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,674,110,–,22,132,341,333,2,321,50,61,219,2,19,674,43.4,15.53
ARLETA ELEMENTARY SCHOOL,Oregon,4.11E+11,OR ,Multnomah County,2-No,†,–,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,454,169,–,25,194,224,230,2,39,64,8,292,2,47,454,27.69,16.4
ARLETA HIGH,California,62271011652,CA ,Los Angeles County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1418,1144,–,122,1266,747,671,1,24,1344,10,37,–,2,1418,63,22.51
ARLIE BOGGS ELEMENTARY SCHOOL,Kentucky,2.10E+11,KY ,Letcher County,†,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),151,106,–,7,113,71,80,1,–,–,–,150,–,–,151,8.7,17.36
ARLIE F. HUTCHINSON MIDDLE,California,62769004170,CA ,Los Angeles County,2-No,1-Yes,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,703,316,–,69,385,394,309,1,61,478,18,120,4,21,703,27,26.04
ARLINGTON,Washington,5.31E+11,WA ,Pierce County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,367,245,–,26,271,193,174,4,20,89,64,114,21,55,367,22.52,16.3
ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,Texas,4.80E+11,TX ,Tarrant County,1-Yes,2-No,–,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,531,92,–,17,109,265,266,0,45,119,105,231,0,31,531,30.28,17.54
ARLINGTON CLASSICS ACADEMY - MIDDLE,Texas,4.80E+11,TX ,Tarrant County,1-Yes,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,477,65,–,25,90,225,252,3,72,88,109,191,0,14,477,30.52,15.63
ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,Texas,4.80E+11,TX ,Tarrant County,1-Yes,2-No,–,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,525,69,–,20,89,248,277,1,67,87,118,222,2,28,525,28.88,18.18
ARLINGTON COLLEGIATE H S,Texas,4.81E+11,TX ,Tarrant County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,404,262,–,61,323,148,256,1,36,297,47,16,2,5,404,17.52,23.06
ARLINGTON COMMUNITY CHARTER SCHOOL,Oregon,4.10E+11,OR ,Gilliam County,1-Yes,†,–,43-Rural: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,155,83,–,27,110,83,72,7,0,21,0,121,1,5,155,11.5,13.48
ARLINGTON COMMUNITY HIGH,Virginia,5.10E+11,VA ,Arlington County,2-No,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,168,72,–,33,105,102,66,2,9,138,11,7,0,1,168,17.3,9.71
ARLINGTON ELEMENTARY,TENNESSEE,4.70E+11,TN ,Shelby County,2-No,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,836,–,38,–,–,444,392,1,15,39,75,676,1,29,836,55.1,15.17
ARLINGTON ELEMENTARY,Washington,5.31E+11,WA ,Spokane County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,654,446,–,73,519,340,314,12,28,84,22,406,22,80,654,42.71,15.31
ARLINGTON ELEMENTARY,Wisconsin,5.51E+11,WI ,Columbia County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,73,11,–,2,13,38,35,0,0,1,0,70,0,2,73,5.5,13.27
ARLINGTON ELEMENTARY,Maryland,2.40E+11,MD ,Baltimore city,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),570,570,378,0,570,306,264,2,2,75,486,2,–,3,570,32,17.81
ARLINGTON ELEMENTARY,California,63942006551,CA ,Los Angeles County,2-No,2-No,–,12-City: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,594,172,–,51,223,285,309,–,247,201,8,64,3,71,594,23,25.83
ARLINGTON ELEMENTARY - 02,South Dakota,4.60E+11,SD ,Kingsbury County,2-No,†,2-No,43-Rural: Remote,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,150,23,16,7,30,67,83,0,1,10,2,137,0,0,150,10.39,14.44
ARLINGTON ELEMENTARY SCHOOL,Tennessee,4.70E+11,TN ,Madison County,2-No,1-Yes,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),644,–,411,–,–,325,319,–,3,53,513,50,–,25,644,41.9,15.37
ARLINGTON ELEMENTARY SCHOOL,Arizona,40084000044,AZ ,Maricopa County,2-No,–,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,262,188,–,13,201,136,126,0,0,181,0,80,0,1,262,12,21.83
ARLINGTON ELEMENTARY SCHOOL,Nebraska,3.10E+11,NE ,Washington County,†,†,2-No,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,343,57,–,24,81,174,169,0,1,26,2,308,0,6,343,20.57,16.67
ARLINGTON ELEMENTARY SCHOOL,Indiana,1.80E+11,IN ,Marion County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,547,218,221,80,298,286,261,–,35,58,22,400,–,32,547,29.03,18.84
ARLINGTON ELEMENTARY SCHOOL,Indiana,1.80E+11,IN ,Allen County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),482,219,205,31,250,233,249,1,19,78,107,221,–,56,482,22,21.91
ARLINGTON ELEMENTARY SCHOOL,Kentucky,2.10E+11,KY ,Fayette County,†,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),345,307,–,13,320,173,172,2,–,139,93,94,–,17,345,35.7,9.66
ARLINGTON ELEMENTARY SCHOOL,Florida,1.20E+11,FL ,Duval County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),242,177,183,6,183,127,115,0,3,35,160,30,0,14,242,16,15.13
ARLINGTON ELEMENTARY SCHOOL,Indiana,1.81E+11,IN ,Rush County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,196,91,84,21,112,103,93,1,–,5,–,187,–,3,196,15,13.07
ARLINGTON ELEMENTARY SCHOOL,Ohio,3.90E+11,OH ,Lucas County,2-No,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),376,–,373,–,–,190,186,0,3,70,129,114,3,57,376,23.08,16.29
ARLINGTON H S,Texas,4.81E+11,TX ,Tarrant County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,2769,1203,–,167,1370,1451,1318,12,84,1138,504,962,2,67,2769,166.42,16.64
ARLINGTON HEIGHTS EL SCH,Pennsylvania,4.22E+11,PA ,Monroe County,2-No,2-No,2-No,23-Suburb: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,258,127,–,6,133,127,131,0,18,73,43,104,0,20,258,23.62,10.92
ARLINGTON HEIGHTS ELEM SCHOOL,Mississippi,2.80E+11,MS ,Jackson County,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),345,345,–,0,345,168,177,0,3,101,189,48,0,4,345,26.09,13.22
ARLINGTON HEIGHTS ELEMENTARY,California,63462005754,CA ,Sacramento County,2-No,2-No,–,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,315,181,–,27,208,160,155,2,6,65,19,208,1,14,315,12,26.25
ARLINGTON HEIGHTS ELEMENTARY,California,62271002825,CA ,Los Angeles County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,455,424,–,9,433,246,209,–,4,402,43,4,–,2,455,21,21.67
ARLINGTON HEIGHTS ELEMENTARY SCH,Indiana,1.80E+11,IN ,Monroe County,2-No,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,314,157,150,23,180,173,141,–,6,20,29,230,1,28,314,25.14,12.49
ARLINGTON HEIGHTS ELEMENTARY SCHOOL,Florida,1.20E+11,FL ,Duval County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),366,285,290,5,290,191,175,0,12,80,194,64,2,14,366,24,15.25
ARLINGTON HEIGHTS H S,Texas,4.82E+11,TX ,Tarrant County,2-No,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,1934,769,–,134,903,927,1007,3,21,976,413,470,3,48,1934,119.5,16.18
ARLINGTON HIGH,California,63315005131,CA ,Riverside County,2-No,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,1918,1154,–,223,1377,1035,883,6,69,1365,101,329,9,39,1918,85.38,22.46
ARLINGTON HIGH,Massachusetts,2.50E+11,MA ,Middlesex County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,–,1325,–,127,–,–,650,671,0,140,85,58,986,2,50,1321,99.79,13.28
ARLINGTON HIGH,TENNESSEE,4.70E+11,TN ,Shelby County,2-No,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,2015,–,94,–,–,985,1030,2,73,122,300,1486,1,31,2015,109.7,18.37
ARLINGTON HIGH,Indiana,1.80E+11,IN ,Marion County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),769,503,538,6,509,448,321,1,–,120,581,45,–,22,769,94.22,8.16
ARLINGTON HIGH SCHOOL,New York,3.60E+11,NY ,Dutchess County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,2965,576,–,88,664,1504,1461,1,129,359,227,2191,3,55,2965,186.83,15.87
ARLINGTON HIGH SCHOOL,Nebraska,3.10E+11,NE ,Washington County,†,†,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,316,29,–,25,54,163,153,2,3,12,4,294,0,1,316,25.09,12.59
ARLINGTON HIGH SCHOOL,Washington,5.30E+11,WA ,Snohomish County,2-No,2-No,–,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,1604,317,–,103,420,800,804,23,30,184,14,1269,6,78,1604,74.36,21.57
ARLINGTON HIGH SCHOOL - 01,South Dakota,4.60E+11,SD ,Kingsbury County,2-No,†,2-No,43-Rural: Remote,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,69,6,4,2,8,43,26,0,0,1,0,68,0,0,69,8.66,7.97
ARLINGTON JR. HIGH - 03,South Dakota,4.60E+11,SD ,Kingsbury County,2-No,†,2-No,43-Rural: Remote,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,39,5,3,2,7,19,20,0,0,2,0,37,0,0,39,2.24,17.41
ARLINGTON LOCAL ELEMENTARY SCHOOL,Ohio,3.90E+11,OH ,Hancock County,2-No,–,2-No,42-Rural: Distant,2-No,1-Yes,2-Title I targeted assistance school,No,294,–,3,–,–,156,138,0,0,6,2,279,0,7,294,17.75,16.56
ARLINGTON LOCAL HIGH SCHOOL,Ohio,3.90E+11,OH ,Hancock County,2-No,–,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,277,92,–,19,111,143,134,0,1,2,0,265,0,9,277,23.21,11.93
ARLINGTON MEMORIAL,Vermont,5.00E+11,VT ,Bennington County,†,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,203,81,–,15,96,110,93,–,–,2,3,195,–,3,203,21,9.67
ARLINGTON MIDDLE,TENNESSEE,4.70E+11,TN ,Shelby County,2-No,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,934,–,28,–,–,489,445,1,20,47,116,724,1,25,934,55.7,16.77
ARLINGTON MIDDLE SCHOOL,Massachusetts,2.51E+11,MA ,Essex County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,586,–,394,–,–,296,290,0,0,571,4,10,0,1,586,39.04,15.01
ARLINGTON MIDDLE SCHOOL,Florida,1.20E+11,FL ,Duval County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),772,558,583,25,583,437,335,3,9,111,451,162,1,35,772,49,15.76
ARLINGTON OPEN DOORS,WASHINGTON,5.30E+11,WA ,Snohomish County,2-No,2-No,–,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,11,6,–,0,6,8,3,1,0,4,0,6,0,0,11,0,†
ARLINGTON PARK EARLY CHILDHOOD CENTER,TEXAS,4.82E+11,TX ,Dallas County,2-No,2-No,–,11-City: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
ARLINGTON PREPARATORY ACADEMY,Louisiana,2.20E+11,LA ,East Baton Rouge Parish,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),78,55,–,–,55,50,28,0,1,0,69,8,0,0,78,8.71,8.96
ARLINGTON PRESCHOOL - 04,SOUTH DAKOTA,4.60E+11,SD ,Kingsbury County,2-No,†,2-No,43-Rural: Remote,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,19,3,3,0,3,10,9,0,0,2,0,17,0,0,19,0.47,40.43
ARLINGTON SCHOOL,Rhode Island,4.40E+11,RI ,Providence County,2-No,†,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,203,138,–,16,154,103,100,2,12,90,27,57,0,15,203,12.75,15.92
ARLINGTON SCIENCE FOCUS,Virginia,5.10E+11,VA ,Arlington County,2-No,1-Yes,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,681,122,–,36,158,334,347,1,175,37,67,315,0,86,681,46.51,14.64
ARLINGTON SPECIAL EDUC SCHOOL,Washington,5.30E+11,WA ,Snohomish County,2-No,2-No,–,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,48,15,–,2,17,36,12,2,0,7,0,38,1,0,48,0,†
ARLINGTON TRADITIONAL,Virginia,5.10E+11,VA ,Arlington County,2-No,1-Yes,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,540,117,–,25,142,276,264,1,100,93,71,218,0,57,540,30,18
ARLINGTON WOODS SCHOOL 99,Indiana,1.80E+11,IN ,Marion County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),503,407,421,–,407,242,261,–,–,72,380,36,–,15,503,26.84,18.74
